anchor_category,count,min,p10,median,mean,p90,max
towel,1,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858,0.7020898461341858
air mattress,1,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114,0.772901713848114
play carpet,2,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876,0.781139612197876
floor mat,1,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522,0.795688271522522
price tag,1,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328,0.8035947680473328
shredder,1,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733,0.8200555443763733
plastic containers,1,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198,0.8329773545265198
white elongated thing,1,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592,0.8353698253631592
shutters,1,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979,0.844734787940979
ipad,1,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513,0.8479756712913513
shower,1,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925,0.849880039691925
piles of papers,1,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493,0.8509510159492493
stall,1,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818,0.8596438765525818
metal holding bar,1,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019,0.8601958155632019
metal thing,1,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561,0.860852837562561
washing machine,1,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232,0.8633374571800232
floor,2,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212,0.8685060739517212
note,1,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453,0.8689786791801453
washer,1,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401,0.8725718259811401
blackboard,1,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437,0.8737491369247437
folder,1,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303,0.8853374123573303
wall,9,0.8642863035202026,0.8734951257705689,0.8794835805892944,0.8854621847470602,0.8976563215255737,0.8976563215255737
painting,2,0.8531740307807922,0.8606293559074402,0.890450656414032,0.890450656414032,0.9202719569206238,0.9277272820472717
window blinds,1,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545,0.8942248821258545
room,4,0.8849356174468994,0.8878672182559967,0.8947076201438904,0.897296741604805,0.908797562122345,0.9148361086845398
kitchen table,1,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562,0.8992080688476562
wardrobe cabinet,1,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159,0.9006796479225159
toilet paper holder,1,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881,0.9050271511077881
bunk,1,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702,0.9100288152694702
corner,5,0.8892841339111328,0.8901577472686768,0.9167729020118713,0.9102120757102966,0.9267675876617432,0.9267675876617432
stand,1,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839,0.9107376933097839
computer,2,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979,0.9121630191802979
shelves,3,0.8176560401916504,0.8466829538345337,0.9627906084060669,0.9144124190012614,0.9627906084060669,0.9627906084060669
oven,2,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164,0.9183359146118164
fan,3,0.861427903175354,0.868099308013916,0.8947849273681641,0.9187262455622355,0.9789297103881835,0.9999659061431885
object,3,0.8686299324035645,0.8756661772727966,0.9038111567497253,0.9241886337598165,0.9808620810508728,1.0001248121261597
end table,1,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997,0.9242182970046997
shelf unit,1,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866,0.924536406993866
bag,1,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884,0.9259992837905884
recycling bin,1,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418,0.934809684753418
paper towels,1,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522,0.9361606240272522
printer,2,0.9364234209060669,0.9364234209060669,0.9364234209060669,0.9364234209060669,0.9364234209060669,0.9364234209060669
kitchen,2,0.9372340440750122,0.9372340440750122,0.9372340440750122,0.9372340440750122,0.9372340440750122,0.9372340440750122
counter,3,0.9072744846343994,0.9082315325736999,0.9120597243309021,0.9397414127985636,0.982323968410492,0.9998900294303894
file box,1,0.9427502751350403,0.9427502751350403,0.9427502751350403,0.9427502751350403,0.9427502751350403,0.9427502751350403
man,1,0.944715142250061,0.944715142250061,0.944715142250061,0.944715142250061,0.944715142250061,0.944715142250061
doors,2,0.9464390277862549,0.9464390277862549,0.9464390277862549,0.9464390277862549,0.9464390277862549,0.9464390277862549
bathroom,2,0.948784351348877,0.948784351348877,0.948784351348877,0.948784351348877,0.948784351348877,0.948784351348877
shelving,1,0.9535354375839233,0.9535354375839233,0.9535354375839233,0.9535354375839233,0.9535354375839233,0.9535354375839233
monitors,1,0.9578905701637268,0.9578905701637268,0.9578905701637268,0.9578905701637268,0.9578905701637268,0.9578905701637268
sinks,1,0.959032416343689,0.959032416343689,0.959032416343689,0.959032416343689,0.959032416343689,0.959032416343689
arm chair,1,0.9607139229774475,0.9607139229774475,0.9607139229774475,0.9607139229774475,0.9607139229774475,0.9607139229774475
doorway,2,0.9607983827590942,0.9607983827590942,0.9607983827590942,0.9607983827590942,0.9607983827590942,0.9607983827590942
bookshelves,1,0.9633789658546448,0.9633789658546448,0.9633789658546448,0.9633789658546448,0.9633789658546448,0.9633789658546448
box,3,0.8992564678192139,0.9194648027420044,1.0002981424331665,0.9666175842285156,1.0002981424331665,1.0002981424331665
bookcase,1,0.9680622816085815,0.9680622816085815,0.9680622816085815,0.9680622816085815,0.9680622816085815,0.9680622816085815
cabinet,3,0.9053100347518921,0.9242865085601807,1.000192403793335,0.9685649474461874,1.000192403793335,1.000192403793335
shelf,2,0.9415465593338013,0.9474061608314515,0.970844566822052,0.970844566822052,0.9942829728126525,1.0001425743103027
plants,2,0.9716678261756897,0.9716678261756897,0.9716678261756897,0.9716678261756897,0.9716678261756897,0.9716678261756897
windows,1,0.972224771976471,0.972224771976471,0.972224771976471,0.972224771976471,0.972224771976471,0.972224771976471
chairs,1,0.9746537804603577,0.9746537804603577,0.9746537804603577,0.9746537804603577,0.9746537804603577,0.9746537804603577
sofa,1,0.975899338722229,0.975899338722229,0.975899338722229,0.975899338722229,0.975899338722229,0.975899338722229
curtains,1,0.9775657057762146,0.9775657057762146,0.9775657057762146,0.9775657057762146,0.9775657057762146,0.9775657057762146
side desk,1,0.9804104566574097,0.9804104566574097,0.9804104566574097,0.9804104566574097,0.9804104566574097,0.9804104566574097
shoes,1,0.9842916131019592,0.9842916131019592,0.9842916131019592,0.9842916131019592,0.9842916131019592,0.9842916131019592
window,23,0.8868734836578369,0.9095376014709473,1.0001940727233887,0.9854131263235341,1.0001940727233887,1.0001940727233887
sink,10,0.8578164577484131,0.9855947494506836,0.9997923374176025,0.9855947494506836,0.9997923374176025,0.9997923374176025
table,16,0.8727153539657593,0.9653784334659576,1.0000250339508057,0.9877373538911343,1.0000250339508057,1.0000250339508057
door,26,0.8629087805747986,0.9998095035552979,0.9998095035552979,0.9902017575043899,0.9998095035552979,0.9998095035552979
desk,16,0.93071448802948,0.9654207825660706,1.0001270771026611,0.9914505034685135,1.0001270771026611,1.0001270771026611
chair,15,0.9461596012115479,0.9752832770347595,1.0000426769256592,0.9936994274457296,1.0000426769256592,1.0000426769256592
couch,4,0.9996788501739502,0.9996788501739502,0.9996788501739502,0.9996788501739502,0.9996788501739502,0.9996788501739502
whiteboard,3,0.9996987581253052,0.9996987581253052,0.9996987581253052,0.9996987581253052,0.9996987581253052,0.9996987581253052
copier,2,0.9997197985649109,0.9997197985649109,0.9997197985649109,0.9997197985649109,0.9997197985649109,0.9997197985649109
refrigerator,1,0.9997352957725525,0.9997352957725525,0.9997352957725525,0.9997352957725525,0.9997352957725525,0.9997352957725525
clock,3,0.9997459053993225,0.9997459053993225,0.9997459053993225,0.9997459053993225,0.9997459053993225,0.9997459053993225
monitor,5,0.999758780002594,0.999758780002594,0.999758780002594,0.999758780002594,0.999758780002594,0.999758780002594
trash can,6,0.9997656345367432,0.9997656345367432,0.9997656345367432,0.9997656345367432,0.9997656345367432,0.9997656345367432
bookshelf,5,0.9997838735580444,0.9997838735580444,0.9997838735580444,0.9997838735580444,0.9997838735580444,0.9997838735580444
bucket,1,0.9998106360435486,0.9998106360435486,0.9998106360435486,0.9998106360435486,0.9998106360435486,0.9998106360435486
shower curtain rod,1,0.9999170899391174,0.9999170899391174,0.9999170899391174,0.9999170899391174,0.9999170899391174,0.9999170899391174
bed,26,1.000011682510376,1.000011682510376,1.000011682510376,1.000011682510376,1.000011682510376,1.000011682510376
bathtub,1,1.0000547170639038,1.0000547170639038,1.0000547170639038,1.0000547170639038,1.0000547170639038,1.0000547170639038
lamp,1,1.0000765323638916,1.0000765323638916,1.0000765323638916,1.0000765323638916,1.0000765323638916,1.0000765323638916
armchair,2,1.0001165866851807,1.0001165866851807,1.0001165866851807,1.0001165866851807,1.0001165866851807,1.0001165866851807
paper towel dispenser,2,1.0001811981201172,1.0001811981201172,1.0001811981201172,1.0001811981201172,1.0001811981201172,1.0001811981201172
coffee table,1,1.0002039670944214,1.0002039670944214,1.0002039670944214,1.0002039670944214,1.0002039670944214,1.0002039670944214
tv,3,1.0002208948135376,1.0002208948135376,1.0002208948135376,1.0002208948135376,1.0002208948135376,1.0002208948135376
toilet,5,1.0002554655075073,1.0002554655075073,1.0002554655075073,1.0002554655075073,1.0002554655075073,1.0002554655075073
nightstand,1,1.000329613685608,1.000329613685608,1.000329613685608,1.000329613685608,1.000329613685608,1.000329613685608
